,0
277,1c1r
278,4mc9
279,1k4g
280,1k22
281,1uj6
282,3sur
283,3b27
284,1bgq
285,1pph
286,2qbu
287,2yay
288,4oc3
289,3d8y
290,1gwv
291,3bwj
292,1t31
293,4ejl
294,2jfz
295,1jak
296,1c1u
297,1g7q
298,1fkg
299,4mjo
300,1mrn
301,3q6w
302,4eo6
303,2r2w
304,1zp8
305,3b4p
306,4b5w
307,3vjc
308,4dsy
309,4j93
310,1r0p
311,1lnm
312,2i0a
313,1oth
314,4elg
315,3u90
316,1lbf
317,4pmm
318,4rak
319,1c86
320,4eoh
321,3brn
322,3f8f
323,3pcn
324,4bup
325,3ikg
326,1yfz
327,2zq0
328,3h89
329,2a5s
330,1qf2
331,1r6n
332,3sug
333,3tif
334,1lgw
335,4h3g
336,4np3
337,2i3i
338,1pzo
339,2vrj
340,4bzs
341,1zs0
342,3zj6
343,3n2p
344,2v77
345,1o2q
346,3cm2
347,4q19
348,1c88
349,3gkz
350,3ehx
351,3f19
352,5er2
353,2bo4
354,2wb5
355,3ekw
356,3n8k
357,1wcq
358,1fh8
359,4io4
360,4qxo
361,1lag
362,2gst
363,1k1j
364,4n6h
365,4phu
366,3d1x
367,3zi0
368,3n7o
369,1z9g
370,1m7d
371,1e4h
372,4f09
373,2p4j
374,2ydt
375,3gk1
376,4ei4
377,3pcg
378,2c3i
379,3vfa
380,3n7h
381,2csn
382,1k1m
383,3s9e
384,2doo
385,4cfl
386,2v2c
387,2c97
388,1m2r
389,4io3
390,1tys
391,1vzq
392,2wn9
393,4iif
394,3uyr
395,1bnw
396,1pyn
397,3ekp
398,1w13
399,3djk
400,3zxz
401,2b7d
402,1zge
403,1rbp
404,4k7i
405,4ban
406,2qzr
407,4ddh
408,2f81
409,2on6
410,2j7g
411,2vjx
412,3i9g
413,3hll
414,3v2q
415,2fx6
416,2mas
417,2wuf
418,4lko
419,3m96
420,3shc
421,3lcu
422,1b6l
423,4o2b
424,4axd
425,3g0i
426,1n51
427,1gcz
428,2wyj
429,3m3o
430,4rsk
431,4k7n
432,1pa9
433,3ivc
434,3o9p
435,3e92
436,2f1g
437,1ajp
438,3ip6
439,4c1t
440,3oyw
441,3bex
442,4lbu
443,3fee
444,3e5u
445,1b6k
446,4da5
447,4ngn
448,3nim
449,1nvr
450,4kqp
451,3ljo
452,3cs7
453,4r59
454,2b4l
455,1d3d
456,4i7j
457,3zt3
458,1utm
459,2yz3
460,2xc4
461,2uyn
462,1swr
463,3sap
464,4lm4
465,3iue
466,4i8n
467,2h4k
468,3neo
469,2zc9
470,1b38
471,3c39
472,1hyo
473,1rmz
474,4a7i
475,1ols
476,2aac
477,3hit
478,1hvk
479,1bp0
480,1moq
481,3p4v
482,4p3h
483,2fxs
484,1pb8
485,2pow
486,4lm3
487,3iub
488,3p8z
489,2q54
490,1utj
491,2nt7
492,4i7m
493,2cht
494,2f7p
495,3ip8
496,1hvl
497,3ug2
498,1ec2
499,3k02
500,1b5j
501,3dc3
502,4fk6
503,3vx3
504,3r4n
505,3gs6
506,1hsh
507,1f0s
508,4e4n
509,1swg
510,1pgp
511,5tmp
512,4p5d
513,3djp
514,4att
515,1lpz
516,3g31
517,1dzk
518,1h5v
519,4dds
520,3pwk
521,2q38
522,1ceb
523,2uy0
524,3cz1
525,3kyq
526,3p8o
527,1pme
528,1f0t
529,4i74
530,1gj7
531,3udd
532,3v4t
533,2j77
534,4r3w
535,4itp
536,3fjz
537,3hfb
538,4hge
539,4dbm
540,1b3f
541,4dkp
542,2usn
543,3ivx
544,3dln
545,4cwq
546,3ozj
547,1gfy
548,1f5k
549,3dcc
550,2y5g
551,3iph
552,3r1v
553,3r7o
554,4ty7
555,1ta6
556,1gi1
557,3gvb
558,4er2
559,2gh9
560,4pum
561,1xhy
562,3prs
563,1xh5
564,2w67
565,3gst
566,2qpu
567,3hl5
568,4m8h
569,3p17
570,2xj2
571,1ela
572,3qaa
573,3o9e
574,2eg7
575,3nes
576,3sk2
577,3m36
578,1b3h
579,3m3z
580,3ff3
581,1f5l
582,4pp0
583,3zq9
584,4k77
585,3ljz
586,3gss
587,3t1a
588,4mrz
589,4gr8
590,4mr6
591,2j79
592,1l6m
593,2amt
594,1fzo
595,1yqy
596,3ttp
597,3o5n
598,2q55
599,4kxb
600,3e3c
601,2xeg
602,3mz6
603,4i7l
604,2fqo
605,3k5i
606,1pb9
607,1q72
608,4bkt
609,1q1g
610,4kwf
611,4lm2
612,4p6x
613,2pov
614,1ec3
615,1xkk
616,3gy7
617,1ocq
618,2dw7
619,4e1k
620,4e7r
621,4g4p
622,1thz
623,2br1
624,2zcs
625,3ip9
626,3ipu
627,2wva
628,4jkw
629,1olu
630,1jsv
631,4etz
632,4dhl
633,3ljg
634,4qem
635,4bks
636,2fxu
637,4mrg
638,2j7h
639,1utl
640,2ves
641,3zt2
642,1rnt
643,4i7k
644,4wiv
645,1ur9
646,3ttm
647,2wzm
648,1hvj
649,1hps
650,2j4g
651,2idw
652,1ciz
653,4lar
654,3ozp
655,2oax
656,2xib
657,1lpg
658,1ajq
659,2q64
660,2rfh
661,4k7o
662,4bah
663,2w5g
664,1ecq
665,1mfd
666,3rt8
667,3fl5
668,3sax
669,1nvs
670,4nnr
671,4r5t
672,3ap4
673,1gja
674,4hdp
675,4c1u
676,2drc
677,3o56
678,2reg
679,1b6j
680,2xei
681,3fed
682,1ecv
683,4bao
684,2f80
685,2q63
686,1str
687,4arw
688,1w7g
689,2j4i
690,1elr
691,3gpo
692,4ts1
693,1sw1
694,1yqj
695,2bq7
696,4jal
697,3oyq
698,3v2p
699,2igv
700,1xgi
701,1xap
702,2j7f
703,2h21
704,2xjj
705,3qdd
706,3fjg
707,4kwo
708,4aq4
709,3iss
710,1ai5
711,4nbl
712,4ndu
713,3qnd
714,3m37
715,3rr4
716,2iko
717,3v78
718,2ypp
719,1gi7
720,4bny
721,2j47
722,3v7t
723,2wvz
724,3djx
725,3qgy
726,3o9d
727,1iih
728,2fqt
729,2nta
730,4m7j
731,2hw2
732,3e5a
733,4r5a
734,2xjx
735,3ni5
736,1gj8
737,4ewn
738,4ty6
739,4arb
740,3njq
741,2b1i
742,3rtf
743,3a6t
744,3pwd
745,1oe8
746,2y5f
747,3g5k
748,3g3r
749,3cyz
750,4nbk
751,3m5e
752,2ca8
753,4lk7
754,3r24
755,1xh4
756,4bb9
757,4i7p
758,4hdb
759,3umq
760,1jvu
761,3wgg
762,1gj6
763,3fj7
764,4g8n
765,3vw1
766,4tu4
767,3p8n
768,2zfp
769,3g08
770,1b0h
771,1f0u
772,2wvt
773,4cwp
774,3djv
775,2eg8
776,3qgw
777,4dkq
778,3hig
779,3pwm
780,3vtr
781,1b3g
782,4m2r
783,1b52
784,3twp
785,1d3p
786,3hek
787,4i72
788,1f0r
789,2rcb
790,3tt4
791,1h0a
792,2pfy
793,2q5k
794,1lst
795,4i8z
796,3ovn
797,3ms9
798,4gr0
799,2f8g
800,4m2u
801,1b55
802,2uz9
803,4fai
804,3g30
805,2ans
806,1xk5
807,2cbu
808,2b1g
809,2xog
810,4fht
811,3djq
812,1ogx
813,4k3h
814,2w7y
815,4g0y
816,3o4k
817,2olb
818,2xdx
819,1tcw
820,2f34
821,1nq7
822,3bkl
823,1w9u
824,1add
825,4de3
826,2qta
827,1hwr
828,3p5o
829,4qac
830,1f8e
831,3ewj
832,3zze
833,1syh
834,1w5y
835,5upj
836,3tsk
837,2bvs
838,3hb4
839,4loi
840,4ipj
841,2xht
842,3t5u
843,1zoh
844,3lgs
845,4kzu
846,6std
847,4dju
848,3r6c
849,1kmy
850,2w4x
851,1f4g
852,3rsr
853,3mxd
854,3ppp
855,1b46
856,4ffs
857,1b4z
858,3gta
859,1s38
860,3ewc
861,1ohr
862,2h3e
863,3dnd
864,1nwl
865,4cu7
866,3vvy
867,3axz
868,3tu7
869,2pgz
870,4m0y
871,1d4j
872,4jfm
873,3zsq
874,3a2o
875,4g5f
876,4e6d
877,4kz7
878,4myd
879,1bxq
880,2qrq
881,2vnp
882,2h6t
883,1ghv
884,1gno
885,3iw6
886,3k2f
887,3ujb
888,1yp9
889,4g0p
890,3nht
891,1w5w
892,3i25
893,2zdn
894,1tog
895,4o0a
896,1j16
897,3g2j
898,4azg
899,2zkj
900,3p58
901,2ccc
902,2afx
903,3da9
904,4m6u
905,2bpv
906,1ypg
907,3sio
908,3m1k
909,4bcm
910,4gzw
911,4hj2
912,3hky
913,2cf9
914,3c8e
915,1dqn
916,1nw5
917,1ik4
918,2xm2
919,3rz1
920,2vh0
921,4e9u
922,4o97
923,1qy2
924,3fhb
925,3kr8
926,4e6q
927,2ra0
928,1b4h
929,4wk1
930,4a6l
931,3jdw
932,2xmy
933,2zn7
934,2wr8
935,3tzm
936,2uwo
937,3c8b
938,4msc
939,3ucj
940,1ony
941,1wvj
942,2aj8
943,1ogd
944,4gzp
945,2ojg
946,4e3g
947,3kqr
948,4do4
949,4ap7
950,2rkg
951,3hkw
952,2vmc
953,2vk6
954,1mmr
955,1xow
956,4e5w
957,4kyh
958,2qrm
959,2qtt
960,3rz8
961,2tmn
962,2xn3
963,4iva
964,1toi
965,4azi
966,2pbw
967,2w26
968,2cli
969,1pot
970,2y7x
971,4m0e
972,3k4d
973,3rv4
974,1jq8
975,4gu6
976,2vmd
977,3cr5
978,4fl1
979,2fu8
980,4a6b
981,3zv7
982,2f94
983,1w0z
984,4ks1
985,4auj
986,4ual
987,2ces
988,3k8o
989,1ghw
990,1gnn
991,1mh5
992,2qrp
993,3t3c
994,1km3
995,2hzy
996,1h2k
997,4m3p
998,1b40
999,2oi0
1000,4k0o
1001,4jc1
1002,1zog
1003,3uil
1004,4csd
1005,1w5v
1006,1uz4
1007,2qwf
1008,2std
1009,3gr2
1010,3ujc
1011,2al5
1012,1d4l
1013,4k55
1014,4jfk
1015,4c6u
1016,4g0q
1017,1cbx
1018,3lbj
1019,1yvm
1020,3p9l
1021,3g1v
1022,1h1d
1023,3ppq
1024,1uvt
1025,3mxe
1026,1f4f
1027,1oba
1028,1w96
1029,2hu6
1030,4o09
1031,2d3z
1032,2qtn
1033,2cen
1034,3c79
1035,3ujd
1036,1d4k
1037,4bc5
1038,1s39
1039,1tcx
1040,3dne
1041,4av4
1042,4ayu
1043,2bvr
1044,2vb8
1045,4heg
1046,3zsy
1047,4bcp
1048,1usk
1049,4jia
1050,3eqr
1051,3c84
1052,1b8y
1053,1syi
1054,2rk8
1055,4r4c
1056,3ctt
1057,1w5x
1058,4az6
1059,4ncn
1060,4de5
1061,4loh
1062,4dld
1063,2pk5
1064,1ghy
1065,2qtg
1066,4cu8
1067,4lj5
1068,2f35
1069,4c9x
1070,3t60
1071,1n4k
1072,4k5p
1073,3exh
1074,2fzc
1075,2qry
1076,4ouj
1077,4loo
1078,1fq5
1079,3dk1
1080,2gj5
1081,1kdk
1082,4o07
1083,2q1q
1084,2f9k
1085,1d7j
1086,1uv6
1087,1hxw
1088,2qw1
1089,1l83
1090,2h5a
1091,3hkq
1092,2rka
1093,2y81
1094,2xdk
1095,1b7h
1096,4o3f
1097,1oar
1098,2vba
1099,3bbb
1100,2xn5
1101,3aru
1102,4qgi
1103,2qrk
1104,2cer
1105,1s63
1106,1y6q
1107,3ppm
1108,4a6c
1109,4ezr
1110,4del
1111,1d4p
1112,1oau
1113,4uma
1114,4gzx
1115,3ts4
1116,1sv3
1117,2bpy
1118,4do5
1119,2rkf
1120,4kp8
1121,3nhi
1122,3ryz
1123,3hmo
1124,3dbu
1125,2zda
1126,4o6w
1127,8cpa
1128,3bgs
1129,1hxb
1130,2clh
1131,2ce9
1132,2afw
1133,2qrl
1134,4djo
1135,4cpw
1136,3arr
1137,3o75
1138,2gl0
1139,3sjf
1140,1h22
1141,3g2l
1142,3gxy
1143,4bf1
1144,3bgz
1145,3c4h
1146,2aoc
1147,3a1s
1148,1ws1
1149,1odj
1150,3rux
1151,3rz0
1152,1bq4
1153,1bwa
1154,4uac
1155,2hzl
1156,4bck
1157,1d4y
1158,4whs
1159,2xde
1160,4avj
1161,4g95
1162,3aqt
1163,4gu9
1164,4hla
1165,2f6t
1166,4cpy
1167,3rz7
1168,3pyy
1169,2vh6
1170,2ccb
1171,2aod
1172,1ebz
1173,1j17
1174,3m40
1175,2ra6
1176,3g2k
1177,3gt9
1178,1y3n
1179,4v27
1180,2cf8
1181,1nw4
1182,1tjp
1183,2xb7
1184,3g1d
1185,2za5
1186,4agl
1187,1nfy
1188,3b67
1189,3afk
1190,2wej
1191,3l6h
1192,2qfu
1193,2o8h
1194,4og3
1195,3q1x
1196,1i9p
1197,3dp9
1198,4f2w
1199,4cga
1200,3std
1201,1x1z
1202,3dsz
1203,3jup
1204,3moh
1205,2ha3
1206,1kv5
1207,2pvh
1208,2ylc
1209,3gjw
1210,2fgu
1211,3pd8
1212,4og4
1213,3jy0
1214,2x09
1215,3ccw
1216,3elc
1217,3gi4
1218,4oks
1219,1hos
1220,3nuj
1221,4in9
1222,4j74
1223,2r3t
1224,4gg7
1225,2r38
1226,1xr9
1227,3mi3
1228,3old
1229,2yi0
1230,3mof
1231,1k9s
1232,4omc
1233,4pfu
1234,2xp7
1235,1li2
1236,1z4o
1237,4km2
1238,3lp4
1239,2xyf
1240,2yfx
1241,3zhx
1242,4poh
1243,2wly
1244,3bu1
1245,2qi3
1246,4gbd
1247,1qk4
1248,4idn
1249,4b7r
1250,1o5e
1251,1nfw
1252,2wed
1253,1k6p
1254,4rj8
1255,1c3e
1256,1i5r
1257,4w97
1258,1sdv
1259,3fvh
1260,2yi7
1261,2vvv
1262,2vpo
1263,3bv9
1264,2ax9
1265,3pgu
1266,2o4j
1267,2erz
1268,2wec
1269,3vha
1270,1qk3
1271,4j45
1272,4jx9
1273,3jyr
1274,1v2o
1275,2qi4
1276,3sxf
1277,2i4z
1278,2wjg
1279,2i2c
1280,4aba
1281,1e6q
1282,4igt
1283,4w9i
1284,1tq4
1285,1kzn
1286,2v3u
1287,4j7d
1288,1o0f
1289,3eeb
1290,3d6p
1291,1c5n
1292,5yas
1293,3rm4
1294,3uxd
1295,3juk
1296,2c1p
1297,3qx5
1298,1sb1
1299,2nmx
1300,1o3i
1301,2weq
1302,1e3g
1303,4ibb
1304,3ai8
1305,4ahs
1306,1epo
1307,3buh
1308,2vuk
1309,1mu6
1310,4qyy
1311,1r1h
1312,3el4
1313,2vvc
1314,3jzh
1315,4up5
1316,3pn1
1317,3zns
1318,1gyx
1319,4ad3
1320,4abf
1321,2xyt
1322,3zbx
1323,3s43
1324,1i9l
1325,3hs4
1326,2baj
1327,3fur
1328,4cmo
1329,3u15
1330,4agp
1331,4ibe
1332,3sww
1333,2a8g
1334,2p3b
1335,1msm
1336,1v2s
1337,3buf
1338,1mu8
1339,2x96
1340,3zdh
1341,4knj
1342,3cj4
1343,4ck3
1344,1r4w
1345,1dif
1346,1fcy
1347,2we3
1348,4us3
1349,2yel
1350,3zm9
1351,1bcd
1352,4ogj
1353,3gc4
1354,4lw1
1355,1ydd
1356,3nu4
1357,2p95
1358,3d9z
1359,1hi4
1360,4l2l
1361,4cg8
1362,3b3x
1363,1g3d
1364,1o0h
1365,1x8r
1366,2ate
1367,3hzk
1368,3f68
1369,2yek
1370,3u8j
1371,2pyy
1372,4cd0
1373,1m0b
1374,4ibk
1375,3u7n
1376,2pv1
1377,4knm
1378,2x91
1379,3mjl
1380,4br3
1381,1gu1
1382,1v2t
1383,3cf8
1384,4fxp
1385,2jh6
1386,4abh
1387,1nc1
1388,3l59
1389,3n0n
1390,1my4
1391,3l3l
1392,4d8z
1393,3n9s
1394,3d91
1395,3rbu
1396,2g71
1397,1hi3
1398,4nra
1399,3iog
1400,3nu3
1401,4ih5
1402,1fiv
1403,2hb3
1404,2o4k
1405,3rdv
1406,3miy
1407,2vpn
1408,2nnd
1409,3b50
1410,4cgi
1411,1g35
1412,3cfn
1413,4lxd
1414,2qi5
1415,3pbb
1416,1v2n
1417,3ao2
1418,2jdk
1419,2i2b
1420,3cl0
1421,4j44
1422,1o36
1423,2zym
1424,1o5c
1425,2web
1426,1trd
1427,1pr5
1428,1g32
1429,2v54
1430,4tim
1431,4ab9
1432,3oe4
1433,2vyt
1434,1c5z
1435,4n7m
1436,1k6v
1437,3rdq
1438,2vvp
1439,4ek9
1440,4pft
1441,4mhy
1442,2o4l
1443,2e27
1444,3mi2
1445,3fvn
1446,2psv
1447,1li3
1448,3hzv
1449,4jxs
1450,4b1j
1451,2jkh
1452,4agc
1453,1e5j
1454,4ido
1455,4h85
1456,2haw
1457,3ao5
1458,3u7s
1459,4ehz
1460,7std
1461,2vzr
1462,2r0z
1463,2pym
1464,3qto
1465,4b76
1466,1o38
1467,2ha2
1468,2i4u
1469,4nwc
1470,3pd9
1471,4ht0
1472,2hmu
1473,4b2l
1474,3b5r
1475,3s8n
1476,1rr6
1477,1c5s
1478,4ggz
1479,3hv8
1480,4hws
1481,3gi5
1482,1oss
1483,2e2r
1484,1ksn
1485,3lpp
1486,1i9q
1487,4b8y
1488,3b92
1489,2ha5
1490,1nfx
1491,1sh9
1492,4qsv
1493,3b66
1494,4agm
1495,1m0q
1496,3f6g
1497,1sbg
1498,2oxn
1499,3tay
1500,3coz
1501,1njs
1502,1ua4
1503,3juq
1504,1c5t
1505,4ca5
1506,4kb9
1507,3kek
1508,1z71
1509,2jdp
1510,1v2u
1511,4jwk
1512,4mdn
1513,2py4
1514,3u8k
1515,4ibj
1516,3fzy
1517,4cd1
1518,1pxp
1519,1v16
1520,3uxl
1521,3s73
1522,2o4p
1523,3n9r
1524,3iof
1525,1qaw
1526,1ydb
1527,1nja
1528,4fxq
1529,1o0n
1530,1x8t
1531,3dzt
1532,1ez9
1533,3l3m
1534,4eb8
1535,3jzg
1536,3u8l
1537,4j21
1538,1qkb
1539,4kao
1540,1fcx
1541,4nxu
1542,3ies
1543,3tk2
1544,3hzm
1545,2r0h
1546,3gc5
1547,3n3g
1548,4q0k
1549,4en4
1550,1v2r
1551,3bug
1552,3fuz
1553,3cj5
1554,3ocz
1555,3f3d
1556,1oz0
1557,4bxk
1558,2aqu
1559,1c3x
1560,2jh0
1561,1g3e
1562,4w9f
1563,2zz2
1564,4cg9
1565,3nu5
1566,4ih3
1567,1sbr
1568,3qxv
1569,3uxk
1570,1hi5
1571,1v11
1572,1gyy
1573,3znr
1574,1jev
1575,4w9o
1576,4abg
1577,3st5
1578,4ad2
1579,2a4m
1580,3lpk
1581,2pu1
1582,4uye
1583,3bva
1584,3q2j
1585,3el5
1586,3tkw
1587,4ibd
1588,4agq
1589,4j28
1590,2p3c
1591,3gcp
1592,1wht
1593,4q93
1594,1i9m
1595,1qbv
1596,2bak
1597,4ahu
1598,2z94
1599,456c
1600,3hvh
1601,1kuk
1602,3lpl
1603,1ydk
1604,3nsn
1605,4qy3
1606,1qhc
1607,4j7e
1608,4w9h
1609,4l4z
1610,3d6q
1611,2r5p
1612,1k6c
1613,1c5o
1614,2bal
1615,4ahr
1616,1flr
1617,1qbq
1618,1bjv
1619,4gkm
1620,3zdg
1621,3s45
1622,3d52
1623,2qfo
1624,3jya
1625,4egk
1626,4ibc
1627,4tln
1628,1i1e
1629,3gbe
1630,3n4b
1631,4jyt
1632,1rp7
1633,1jgl
1634,1ax0
1635,4u8w
1636,4ieh
1637,1nhu
1638,4kow
1639,2pwg
1640,4fs4
1641,2c3l
1642,1hms
1643,4gj3
1644,3rf5
1645,2qhy
1646,3zcl
1647,3kdb
1648,4b3b
1649,2c92
1650,2hjb
1651,1uou
1652,3ebh
1653,2z1w
1654,2p15
1655,3d1z
1656,4dsu
1657,3lq2
1658,966c
1659,4io6
1660,1hmt
1661,2vt3
1662,1mrw
1663,3pce
1664,3ckb
1665,3b1m
1666,4b6s
1667,3roc
1668,3f7i
1669,4nue
1670,3tfn
1671,3kmx
1672,2gzl
1673,4iid
1674,1bnu
1675,3ekr
1676,4jsa
1677,2x2r
1678,2p7g
1679,1k1o
1680,3ebo
1681,1ndy
1682,2wgj
1683,1m2p
1684,4alx
1685,4q4o
1686,1wc1
1687,3ok9
1688,3mhw
1689,3re4
1690,3oku
1691,3bqc
1692,1sld
1693,2v2h
1694,1c84
1695,2qnn
1696,1owe
1697,1grp
1698,1ctt
1699,1fkw
1700,2zq2
1701,1ct8
1702,3u92
1703,1c70
1704,3n2u
1705,2z4o
1706,3f15
1707,3sue
1708,1ndw
1709,2qd7
1710,3rlb
1711,3mam
1712,2vw2
1713,1qf0
1714,3f7g
1715,3aas
1716,1g7f
1717,1nh0
1718,1x38
1719,3ahn
1720,3mmf
1721,2azr
1722,1jn4
1723,1c83
1724,3f8c
1725,2yme
1726,4gfo
1727,2g94
1728,1ppm
1729,3rlp
1730,2ov4
1731,3suw
1732,4b35
1733,4aci
1734,3dri
1735,2a5c
1736,3w07
1737,2vwl
1738,1z9y
1739,1tuf
1740,4b6o
1741,2gv7
1742,2e9u
1743,3uug
1744,4hzm
1745,4pb2
1746,1mtr
1747,1lkl
1748,1fkb
1749,4b9k
1750,4kiu
1751,1bnn
1752,1t5f
1753,4jsz
1754,2e5y
1755,3kmc
1756,3tfu
1757,2bet
1758,1p57
1759,3fql
1760,2jf4
1761,4qxq
1762,4b32
1763,1tpw
1764,3iae
1765,3b25
1766,4f3c
1767,2ya7
1768,2qbw
1769,4oc1
1770,3upv
1771,2wkz
1772,2pqb
1773,3u6h
1774,1vyg
1775,2jew
1776,2wk6
1777,1bma
1778,1k27
1779,2p4s
1780,3h1x
1781,3spf
1782,1ql7
1783,3kgq
1784,1fm9
1785,1z6s
1786,2pwr
1787,4luz
1788,2bfr
1789,4fut
1790,3nw3
1791,3syr
1792,1nny
1793,3zc5
1794,1ex8
1795,3d4y
1796,3l79
1797,1o2o
1798,3nx7
1799,4jss
1800,3mhl
1801,2gz2
1802,3fqe
1803,1sl3
1804,1g2l
1805,2ovv
1806,3eb1
1807,3bxe
1808,4oct
1809,4l51
1810,1ppc
1811,3f48
1812,3l4z
1813,1o2h
1814,1g1d
1815,1ql9
1816,1dgm
1817,2boh
1818,4efk
1819,3f70
1820,4mc2
1821,3uzj
1822,1hk4
1823,4cjp
1824,1dhi
1825,2pql
1826,1lke
1827,1g85
1828,4jzi
1829,2g9q
1830,2xxr
1831,1g2k
1832,1o86
1833,2ptz
1834,1fhd
1835,4q4s
1836,4el5
1837,3jrs
1838,2qmg
1839,1qf1
1840,1lgt
1841,4b5s
1842,3lxk
1843,1ndv
1844,1c4u
1845,3d7k
1846,2qd6
1847,4wt2
1848,4n07
1849,3aho
1850,4kif
1851,1x39
1852,1mrx
1853,3pcj
1854,2o0u
1855,2yk1
1856,3gdt
1857,3mdz
1858,1o2r
1859,1g7g
1860,3dxh
1861,1m7i
1862,4b5t
1863,1g4o
1864,3w9r
1865,4std
1866,1m2x
1867,4u4s
1868,1bn1
1869,4n9a
1870,4nyf
1871,3u93
1872,4fzj
1873,3aau
1874,4b0b
1875,2eum
1876,1xpz
1877,3oaf
1878,4hu1
1879,3f8e
1880,7upj
1881,3ikd
1882,1ctu
1883,1nhz
1884,4b6r
1885,4cc5
1886,3b7u
1887,1i7z
1888,4ge1
1889,2ydw
1890,3f7h
1891,3zln
1892,1bm7
1893,3pe1
1894,3vfb
1895,3nq9
1896,2iuz
1897,1k1n
1898,2qd8
1899,4jz1
1900,3ggu
1901,2qdt
1902,3kdd
1903,1m4h
1904,1m2q
1905,4h3j
1906,3lxe
1907,1o1s
1908,4b3d
1909,2c94
1910,3kmy
1911,4iie
1912,4aji
1913,1bnt
1914,2ayr
1915,4ej8
1916,1mq5
1917,4aia
1918,4np9
1919,3uz5
1920,4mjp
1921,1hmr
1922,3rf4
1923,3l7a
1924,2qg0
1925,4n5d
1926,3uu1
1927,1hbv
1928,1fd0
1929,3b7r
1930,5er1
1931,3mna
1932,3ekt
1933,1qft
1934,4io7
1935,4nuc
1936,4dst
1937,4b3c
1938,2evl
1939,3kdc
1940,2p7a
1941,3hx3
1942,3upk
1943,1k1i
1944,2avq
1945,1pvn
1946,3d7b
1947,3ebi
